,Awards,col_final1,col_final2,col_final3
5053,1 win & 19 nominations., 19 nominations.,1 win ,0
5054,2 wins & 5 nominations., 5 nominations.,2 wins ,0
5055,23 wins & 27 nominations., 27 nominations.,23 wins ,0
5057,1 win & 1 nomination., 1 nomination.,1 win ,0
5059,2 nominations.,0,2 nominations,
5065,Nominated for 2 Primetime Emmys. Another 2 wins & 21 nominations., 21 nominations.,Nominated for 2 Primetime Emmys, Another 2 wins 
5068,1 win & 4 nominations., 4 nominations.,1 win ,0
5073,1 win & 1 nomination., 1 nomination.,1 win ,0
5076,1 win & 1 nomination., 1 nomination.,1 win ,0
5077,Nominated for 6 Golden Globes. Another 43 wins & 92 nominations., 92 nominations.,Nominated for 6 Golden Globes, Another 43 wins 
5078,3 wins & 7 nominations., 7 nominations.,3 wins ,0
5079,4 wins & 3 nominations., 3 nominations.,4 wins ,0
5080,2 wins & 7 nominations., 7 nominations.,2 wins ,0
5081,Won 3 Primetime Emmys. Another 2 wins & 17 nominations., 17 nominations.,Won 3 Primetime Emmys, Another 2 wins 
5084,2 nominations.,0,2 nominations,
5085,11 nominations.,0,11 nominations,
5087,1 win.,0,1 win,
5088,2 wins & 2 nominations., 2 nominations.,2 wins ,0
5090,4 wins & 5 nominations., 5 nominations.,4 wins ,0
5091,14 wins & 26 nominations., 26 nominations.,14 wins ,0
5092,4 wins & 9 nominations., 9 nominations.,4 wins ,0
5094,2 wins & 1 nomination., 1 nomination.,2 wins ,0
5095,3 wins.,0,3 wins,
5096,2 wins & 9 nominations., 9 nominations.,2 wins ,0
5097,1 nomination.,0,1 nomination,
5098,2 nominations.,0,2 nominations,
5099,1 win & 1 nomination., 1 nomination.,1 win ,0
5100,4 wins & 8 nominations., 8 nominations.,4 wins ,0
5103,3 wins & 3 nominations., 3 nominations.,3 wins ,0
5105,2 nominations.,0,2 nominations,
5106,5 wins & 9 nominations., 9 nominations.,5 wins ,0
5108,6 nominations.,0,6 nominations,
5110,4 wins & 9 nominations., 9 nominations.,4 wins ,0
5112,2 nominations.,0,2 nominations,
