,Awards,col_final1,col_final2,col_final3
3,1 win & 2 nominations., 2 nominations.,1 win ,0
4,1 win.,0,1 win,
5,1 nomination.,0,1 nomination,
6,3 wins & 2 nominations., 2 nominations.,3 wins ,0
7,1 win & 1 nomination., 1 nomination.,1 win ,0
11,5 nominations.,0,5 nominations,
13,2 wins & 5 nominations., 5 nominations.,2 wins ,0
15,Nominated for 1 Oscar. Another 13 wins & 13 nominations., 13 nominations.,Nominated for 1 Oscar, Another 13 wins 
18,5 wins & 4 nominations., 4 nominations.,5 wins ,0
24,Nominated for 1 Golden Globe. Another 14 wins & 34 nominations., 34 nominations.,Nominated for 1 Golden Globe, Another 14 wins 
25,3 wins & 2 nominations., 2 nominations.,3 wins ,0
28,1 nomination.,0,1 nomination,
31,5 nominations.,0,5 nominations,
34,1 win & 2 nominations., 2 nominations.,1 win ,0
37,22 wins & 44 nominations., 44 nominations.,22 wins ,0
38,1 win & 3 nominations., 3 nominations.,1 win ,0
39,1 win & 8 nominations., 8 nominations.,1 win ,0
43,2 nominations.,0,2 nominations,
47,6 wins & 1 nomination., 1 nomination.,6 wins ,0
50,Won 2 Golden Globes. Another 68 wins & 201 nominations., 201 nominations.,Won 2 Golden Globes, Another 68 wins 
51,Won 1 Golden Globe. Another 31 wins & 143 nominations., 143 nominations.,Won 1 Golden Globe, Another 31 wins 
53,Nominated for 4 Primetime Emmys. Another 16 nominations.,0,Nominated for 4 Primetime Emmys, Another 16 nominations
54,3 wins & 2 nominations., 2 nominations.,3 wins ,0
56,3 wins & 6 nominations., 6 nominations.,3 wins ,0
62,2 wins.,0,2 wins,
69,6 wins & 4 nominations., 4 nominations.,6 wins ,0
72,7 wins & 6 nominations., 6 nominations.,7 wins ,0
76,9 wins & 30 nominations., 30 nominations.,9 wins ,0
79,Won 1 Primetime Emmy. Another 1 win & 6 nominations., 6 nominations.,Won 1 Primetime Emmy, Another 1 win 
84,1 nomination.,0,1 nomination,
87,Nominated for 3 BAFTA Film Awards. Another 11 wins & 39 nominations., 39 nominations.,Nominated for 3 BAFTA Film Awards, Another 11 wins 
88,6 nominations.,0,6 nominations,
90,1 win & 4 nominations., 4 nominations.,1 win ,0
91,2 wins & 5 nominations., 5 nominations.,2 wins ,0
94,14 wins & 11 nominations., 11 nominations.,14 wins ,0
97,1 win & 1 nomination., 1 nomination.,1 win ,0
102,1 win & 2 nominations., 2 nominations.,1 win ,0
116,2 nominations.,0,2 nominations,
117,3 wins & 3 nominations., 3 nominations.,3 wins ,0
118,Nominated for 1 Golden Globe. Another 2 wins & 14 nominations., 14 nominations.,Nominated for 1 Golden Globe, Another 2 wins 
121,2 wins.,0,2 wins,
134,Nominated for 1 Primetime Emmy. Another 1 nomination.,0,Nominated for 1 Primetime Emmy, Another 1 nomination
135,3 wins & 1 nomination., 1 nomination.,3 wins ,0
138,1 win & 1 nomination., 1 nomination.,1 win ,0
139,1 nomination.,0,1 nomination,
146,2 wins.,0,2 wins,
150,1 nomination.,0,1 nomination,
152,9 wins & 8 nominations., 8 nominations.,9 wins ,0
162,1 win.,0,1 win,
164,1 win.,0,1 win,
166,15 wins & 4 nominations., 4 nominations.,15 wins ,0
167,1 win.,0,1 win,
180,1 win & 1 nomination., 1 nomination.,1 win ,0
181,3 wins & 6 nominations., 6 nominations.,3 wins ,0
184,8 wins & 8 nominations., 8 nominations.,8 wins ,0
185,2 nominations.,0,2 nominations,
190,1 nomination.,0,1 nomination,
191,1 win.,0,1 win,
211,1 nomination.,0,1 nomination,
212,2 wins.,0,2 wins,
213,1 win & 3 nominations., 3 nominations.,1 win ,0
215,1 win.,0,1 win,
217,4 nominations.,0,4 nominations,
221,4 wins.,0,4 wins,
222,1 win.,0,1 win,
226,15 nominations.,0,15 nominations,
230,2 wins.,0,2 wins,
240,2 wins.,0,2 wins,
244,1 nomination.,0,1 nomination,
256,1 nomination.,0,1 nomination,
288,7 wins & 7 nominations., 7 nominations.,7 wins ,0
291,1 nomination.,0,1 nomination,
326,1 win.,0,1 win,
345,1 nomination.,0,1 nomination,
356,1 win & 1 nomination., 1 nomination.,1 win ,0
365,1 nomination.,0,1 nomination,
374,1 win.,0,1 win,
402,2 wins.,0,2 wins,
410,4 wins & 9 nominations., 9 nominations.,4 wins ,0
449,1 win & 1 nomination., 1 nomination.,1 win ,0
515,1 win.,0,1 win,
545,Won 11 Oscars. Another 174 wins & 113 nominations., 113 nominations.,Won 11 Oscars, Another 174 wins 
547,4 wins & 11 nominations., 11 nominations.,4 wins ,0
552,3 wins & 4 nominations., 4 nominations.,3 wins ,0
553,1 win & 5 nominations., 5 nominations.,1 win ,0
556,2 wins & 2 nominations., 2 nominations.,2 wins ,0
560,1 nomination.,0,1 nomination,
561,Won 1 Oscar. Another 11 wins & 14 nominations., 14 nominations.,Won 1 Oscar, Another 11 wins 
563,Won 3 Primetime Emmys. Another 44 nominations.,0,Won 3 Primetime Emmys, Another 44 nominations
564,1 win & 1 nomination., 1 nomination.,1 win ,0
567,2 nominations.,0,2 nominations,
568,1 win.,0,1 win,
571,Nominated for 7 Oscars. Another 6 wins & 36 nominations., 36 nominations.,Nominated for 7 Oscars, Another 6 wins 
573,1 win & 6 nominations., 6 nominations.,1 win ,0
575,1 nomination.,0,1 nomination,
576,1 nomination.,0,1 nomination,
582,2 wins.,0,2 wins,
584,2 wins & 7 nominations., 7 nominations.,2 wins ,0
585,14 wins & 22 nominations., 22 nominations.,14 wins ,0
591,1 nomination.,0,1 nomination,
594,1 win & 2 nominations., 2 nominations.,1 win ,0
597,1 nomination.,0,1 nomination,
601,12 nominations.,0,12 nominations,
604,5 wins & 34 nominations., 34 nominations.,5 wins ,0
605,Nominated for 1 Primetime Emmy. Another 1 win & 2 nominations., 2 nominations.,Nominated for 1 Primetime Emmy, Another 1 win 
615,9 nominations.,0,9 nominations,
620,8 nominations.,0,8 nominations,
621,2 nominations.,0,2 nominations,
623,1 nomination.,0,1 nomination,
624,2 nominations.,0,2 nominations,
625,1 win.,0,1 win,
626,3 wins.,0,3 wins,
631,1 nomination.,0,1 nomination,
634,1 win & 5 nominations., 5 nominations.,1 win ,0
637,2 nominations.,0,2 nominations,
638,10 wins & 22 nominations., 22 nominations.,10 wins ,0
642,1 nomination.,0,1 nomination,
643,Nominated for 2 Golden Globes. Another 21 wins & 72 nominations., 72 nominations.,Nominated for 2 Golden Globes, Another 21 wins 
655,1 nomination.,0,1 nomination,
657,2 wins & 3 nominations., 3 nominations.,2 wins ,0
660,1 win.,0,1 win,
662,1 win.,0,1 win,
667,1 win & 2 nominations., 2 nominations.,1 win ,0
668,2 wins & 1 nomination., 1 nomination.,2 wins ,0
669,1 win.,0,1 win,
670,2 wins & 10 nominations., 10 nominations.,2 wins ,0
676,1 nomination.,0,1 nomination,
680,1 nomination.,0,1 nomination,
681,8 wins & 10 nominations., 10 nominations.,8 wins ,0
683,2 wins & 5 nominations., 5 nominations.,2 wins ,0
690,2 wins & 8 nominations., 8 nominations.,2 wins ,0
692,2 wins & 2 nominations., 2 nominations.,2 wins ,0
693,1 win & 1 nomination., 1 nomination.,1 win ,0
697,1 nomination.,0,1 nomination,
699,6 wins & 2 nominations., 2 nominations.,6 wins ,0
708,1 nomination.,0,1 nomination,
709,1 nomination.,0,1 nomination,
710,3 nominations.,0,3 nominations,
714,14 wins & 17 nominations., 17 nominations.,14 wins ,0
716,3 wins & 7 nominations., 7 nominations.,3 wins ,0
717,2 nominations.,0,2 nominations,
740,1 nomination.,0,1 nomination,
764,5 wins & 2 nominations., 2 nominations.,5 wins ,0
765,1 win.,0,1 win,
776,1 win.,0,1 win,
782,1 nomination.,0,1 nomination,
783,1 nomination.,0,1 nomination,
794,13 wins & 7 nominations., 7 nominations.,13 wins ,0
810,1 win & 1 nomination., 1 nomination.,1 win ,0
816,1 win.,0,1 win,
829,1 nomination.,0,1 nomination,
835,3 nominations.,0,3 nominations,
837,3 nominations.,0,3 nominations,
840,2 wins & 5 nominations., 5 nominations.,2 wins ,0
846,2 wins.,0,2 wins,
867,1 nomination.,0,1 nomination,
868,1 win.,0,1 win,
871,2 nominations.,0,2 nominations,
874,1 win & 15 nominations., 15 nominations.,1 win ,0
877,1 win & 6 nominations., 6 nominations.,1 win ,0
891,1 win & 5 nominations., 5 nominations.,1 win ,0
892,3 wins & 3 nominations., 3 nominations.,3 wins ,0
896,1 nomination.,0,1 nomination,
899,5 nominations.,0,5 nominations,
914,2 wins & 1 nomination., 1 nomination.,2 wins ,0
915,6 wins & 6 nominations., 6 nominations.,6 wins ,0
916,1 win & 1 nomination., 1 nomination.,1 win ,0
924,1 win.,0,1 win,
934,1 nomination.,0,1 nomination,
947,1 win.,0,1 win,
983,1 nomination.,0,1 nomination,
990,4 nominations.,0,4 nominations,
992,1 nomination.,0,1 nomination,
1000,1 nomination.,0,1 nomination,
1027,1 nomination.,0,1 nomination,
1030,2 wins & 2 nominations., 2 nominations.,2 wins ,0
1040,1 win.,0,1 win,
1071,1 nomination.,0,1 nomination,
1115,2 wins & 1 nomination., 1 nomination.,2 wins ,0
1180,1 win.,0,1 win,
1201,Nominated for 1 Oscar. Another 25 wins & 51 nominations., 51 nominations.,Nominated for 1 Oscar, Another 25 wins 
1202,1 nomination.,0,1 nomination,
1204,8 wins & 20 nominations., 20 nominations.,8 wins ,0
1205,2 nominations.,0,2 nominations,
1207,4 nominations.,0,4 nominations,
1208,5 wins & 12 nominations., 12 nominations.,5 wins ,0
1209,3 wins.,0,3 wins,
1212,1 win & 6 nominations., 6 nominations.,1 win ,0
1213,7 wins & 5 nominations., 5 nominations.,7 wins ,0
1214,4 nominations.,0,4 nominations,
1217,2 nominations.,0,2 nominations,
1219,2 wins & 6 nominations., 6 nominations.,2 wins ,0
1220,1 win & 14 nominations., 14 nominations.,1 win ,0
1221,Nominated for 3 Oscars. Another 13 wins & 40 nominations., 40 nominations.,Nominated for 3 Oscars, Another 13 wins 
1230,1 win & 2 nominations., 2 nominations.,1 win ,0
1231,1 win & 1 nomination., 1 nomination.,1 win ,0
1233,1 win & 9 nominations., 9 nominations.,1 win ,0
1234,8 wins & 6 nominations., 6 nominations.,8 wins ,0
1235,1 nomination.,0,1 nomination,
1238,8 wins & 17 nominations., 17 nominations.,8 wins ,0
1239,4 wins & 1 nomination., 1 nomination.,4 wins ,0
1240,1 win & 1 nomination., 1 nomination.,1 win ,0
1241,4 wins & 4 nominations., 4 nominations.,4 wins ,0
1242,5 wins.,0,5 wins,
1243,27 wins & 31 nominations., 31 nominations.,27 wins ,0
1244,2 wins & 1 nomination., 1 nomination.,2 wins ,0
1245,1 nomination.,0,1 nomination,
1246,3 wins.,0,3 wins,
1257,4 wins.,0,4 wins,
1261,4 nominations.,0,4 nominations,
1266,5 wins.,0,5 wins,
1267,2 wins & 5 nominations., 5 nominations.,2 wins ,0
1268,3 wins.,0,3 wins,
1269,1 nomination.,0,1 nomination,
1272,1 win & 1 nomination., 1 nomination.,1 win ,0
1274,Nominated for 1 Oscar. Another 11 wins & 24 nominations., 24 nominations.,Nominated for 1 Oscar, Another 11 wins 
1275,1 win.,0,1 win,
1279,3 nominations.,0,3 nominations,
1299,1 nomination.,0,1 nomination,
1300,1 nomination.,0,1 nomination,
1301,21 nominations.,0,21 nominations,
1304,4 nominations.,0,4 nominations,
1305,1 win & 2 nominations., 2 nominations.,1 win ,0
1316,1 win.,0,1 win,
1324,7 wins & 9 nominations., 9 nominations.,7 wins ,0
1327,1 win.,0,1 win,
1330,3 wins & 32 nominations., 32 nominations.,3 wins ,0
1332,1 win.,0,1 win,
1337,2 wins & 1 nomination., 1 nomination.,2 wins ,0
1339,4 wins & 6 nominations., 6 nominations.,4 wins ,0
1342,2 wins.,0,2 wins,
1351,4 nominations.,0,4 nominations,
1354,1 win.,0,1 win,
1356,2 wins.,0,2 wins,
1358,2 nominations.,0,2 nominations,
1360,7 wins & 7 nominations., 7 nominations.,7 wins ,0
1364,2 wins & 1 nomination., 1 nomination.,2 wins ,0
1366,2 nominations.,0,2 nominations,
1367,1 win.,0,1 win,
1370,2 nominations.,0,2 nominations,
1384,1 nomination.,0,1 nomination,
1386,1 win & 1 nomination., 1 nomination.,1 win ,0
1398,Won 6 Golden Globes. Another 80 wins & 310 nominations., 310 nominations.,Won 6 Golden Globes, Another 80 wins 
1407,18 wins & 7 nominations., 7 nominations.,18 wins ,0
1409,1 win & 1 nomination., 1 nomination.,1 win ,0
1413,Nominated for 3 Golden Globes. Another 3 wins & 23 nominations., 23 nominations.,Nominated for 3 Golden Globes, Another 3 wins 
1415,1 nomination.,0,1 nomination,
1424,1 win.,0,1 win,
1425,3 wins.,0,3 wins,
1428,5 wins & 25 nominations., 25 nominations.,5 wins ,0
1455,3 wins.,0,3 wins,
1458,1 nomination.,0,1 nomination,
1465,1 nomination.,0,1 nomination,
1473,1 nomination.,0,1 nomination,
1482,1 win & 1 nomination., 1 nomination.,1 win ,0
1499,11 wins.,0,11 wins,
1502,1 nomination.,0,1 nomination,
1505,2 nominations.,0,2 nominations,
1514,1 nomination.,0,1 nomination,
1518,4 wins & 1 nomination., 1 nomination.,4 wins ,0
1519,2 wins.,0,2 wins,
1548,1 nomination.,0,1 nomination,
1551,1 nomination.,0,1 nomination,
1559,1 win & 1 nomination., 1 nomination.,1 win ,0
1575,3 nominations.,0,3 nominations,
1576,1 win & 2 nominations., 2 nominations.,1 win ,0
1584,2 wins.,0,2 wins,
1586,6 wins & 1 nomination., 1 nomination.,6 wins ,0
1591,1 win.,0,1 win,
1594,5 wins & 9 nominations., 9 nominations.,5 wins ,0
1595,5 wins & 7 nominations., 7 nominations.,5 wins ,0
1606,1 win.,0,1 win,
1609,4 wins & 5 nominations., 5 nominations.,4 wins ,0
1620,4 nominations.,0,4 nominations,
1621,1 win & 4 nominations., 4 nominations.,1 win ,0
1623,1 win & 1 nomination., 1 nomination.,1 win ,0
1646,1 win.,0,1 win,
1661,1 win.,0,1 win,
1672,4 wins.,0,4 wins,
1706,1 nomination.,0,1 nomination,
1746,1 win.,0,1 win,
1753,1 nomination.,0,1 nomination,
1804,2 nominations.,0,2 nominations,
1898,36 wins & 20 nominations., 20 nominations.,36 wins ,0
1940,1 win & 1 nomination., 1 nomination.,1 win ,0
1941,12 nominations.,0,12 nominations,
1943,1 win.,0,1 win,
1944,3 nominations.,0,3 nominations,
1945,5 wins & 6 nominations., 6 nominations.,5 wins ,0
1947,1 win & 5 nominations., 5 nominations.,1 win ,0
1948,1 win & 5 nominations., 5 nominations.,1 win ,0
1949,1 win & 1 nomination., 1 nomination.,1 win ,0
1952,4 wins & 1 nomination., 1 nomination.,4 wins ,0
1956,1 win.,0,1 win,
1957,2 wins & 19 nominations., 19 nominations.,2 wins ,0
1958,4 nominations.,0,4 nominations,
1959,Nominated for 2 Oscars. Another 23 wins & 99 nominations., 99 nominations.,Nominated for 2 Oscars, Another 23 wins 
1960,1 nomination.,0,1 nomination,
1961,3 wins & 6 nominations., 6 nominations.,3 wins ,0
1965,1 win.,0,1 win,
1966,1 win.,0,1 win,
1971,10 wins & 24 nominations., 24 nominations.,10 wins ,0
1972,1 nomination.,0,1 nomination,
1977,26 wins & 18 nominations., 18 nominations.,26 wins ,0
1979,1 nomination.,0,1 nomination,
1980,2 wins & 3 nominations., 3 nominations.,2 wins ,0
1983,2 nominations.,0,2 nominations,
1987,Nominated for 5 Oscars. Another 26 wins & 88 nominations., 88 nominations.,Nominated for 5 Oscars, Another 26 wins 
1988,1 win & 2 nominations., 2 nominations.,1 win ,0
1990,1 win & 4 nominations., 4 nominations.,1 win ,0
1991,1 win & 1 nomination., 1 nomination.,1 win ,0
1994,3 nominations.,0,3 nominations,
2007,3 wins & 1 nomination., 1 nomination.,3 wins ,0
2008,1 win & 1 nomination., 1 nomination.,1 win ,0
2010,1 nomination.,0,1 nomination,
2011,Nominated for 1 Oscar. Another 2 wins & 4 nominations., 4 nominations.,Nominated for 1 Oscar, Another 2 wins 
2012,1 win.,0,1 win,
2025,5 nominations.,0,5 nominations,
2030,1 win & 2 nominations., 2 nominations.,1 win ,0
2031,1 nomination.,0,1 nomination,
2032,4 nominations.,0,4 nominations,
2045,2 wins & 1 nomination., 1 nomination.,2 wins ,0
2047,1 nomination.,0,1 nomination,
2050,3 wins & 1 nomination., 1 nomination.,3 wins ,0
2055,1 win & 1 nomination., 1 nomination.,1 win ,0
2079,2 wins.,0,2 wins,
2081,1 nomination.,0,1 nomination,
2082,1 win & 9 nominations., 9 nominations.,1 win ,0
2085,2 wins & 1 nomination., 1 nomination.,2 wins ,0
2086,1 nomination.,0,1 nomination,
2101,Nominated for 1 Oscar. Another 2 wins & 14 nominations., 14 nominations.,Nominated for 1 Oscar, Another 2 wins 
2104,28 wins & 16 nominations., 16 nominations.,28 wins ,0
2109,1 win & 1 nomination., 1 nomination.,1 win ,0
2116,1 win.,0,1 win,
2119,1 win & 2 nominations., 2 nominations.,1 win ,0
2125,Won 1 Golden Globe. Another 10 wins & 57 nominations., 57 nominations.,Won 1 Golden Globe, Another 10 wins 
2145,1 win & 6 nominations., 6 nominations.,1 win ,0
2153,1 win & 1 nomination., 1 nomination.,1 win ,0
2155,1 win.,0,1 win,
2166,2 wins & 2 nominations., 2 nominations.,2 wins ,0
2169,8 wins & 6 nominations., 6 nominations.,8 wins ,0
2172,1 win.,0,1 win,
2173,2 wins.,0,2 wins,
2174,1 win.,0,1 win,
2182,5 wins & 2 nominations., 2 nominations.,5 wins ,0
2185,1 nomination.,0,1 nomination,
2189,2 nominations.,0,2 nominations,
2193,3 wins.,0,3 wins,
2194,1 win & 3 nominations., 3 nominations.,1 win ,0
2203,3 wins.,0,3 wins,
2213,1 win & 6 nominations., 6 nominations.,1 win ,0
2228,2 wins & 17 nominations., 17 nominations.,2 wins ,0
2238,1 win.,0,1 win,
2242,6 wins & 4 nominations., 4 nominations.,6 wins ,0
2248,1 win.,0,1 win,
2252,1 nomination.,0,1 nomination,
2254,1 nomination.,0,1 nomination,
2257,2 wins & 10 nominations., 10 nominations.,2 wins ,0
2262,26 wins & 24 nominations., 24 nominations.,26 wins ,0
2273,1 win.,0,1 win,
2285,1 win.,0,1 win,
2287,2 nominations.,0,2 nominations,
2288,1 nomination.,0,1 nomination,
2296,1 win.,0,1 win,
2305,1 win.,0,1 win,
2322,1 win.,0,1 win,
2337,Won 1 Primetime Emmy. Another 3 wins & 3 nominations., 3 nominations.,Won 1 Primetime Emmy, Another 3 wins 
2338,2 wins.,0,2 wins,
2339,1 win.,0,1 win,
2347,2 nominations.,0,2 nominations,
2348,2 wins.,0,2 wins,
2351,3 nominations.,0,3 nominations,
2367,Nominated for 1 Oscar. Another 5 wins & 1 nomination., 1 nomination.,Nominated for 1 Oscar, Another 5 wins 
2392,Nominated for 1 Oscar. Another 1 win.,0,Nominated for 1 Oscar, Another 1 win
2407,2 nominations.,0,2 nominations,
2426,2 wins.,0,2 wins,
2430,1 win.,0,1 win,
2436,1 win & 1 nomination., 1 nomination.,1 win ,0
2440,1 win & 4 nominations., 4 nominations.,1 win ,0
2445,3 wins.,0,3 wins,
2459,2 wins.,0,2 wins,
2469,1 nomination.,0,1 nomination,
2480,1 nomination.,0,1 nomination,
2488,1 win & 3 nominations., 3 nominations.,1 win ,0
2509,1 nomination.,0,1 nomination,
2543,1 nomination.,0,1 nomination,
2545,5 nominations.,0,5 nominations,
2572,1 win.,0,1 win,
2596,2 wins & 4 nominations., 4 nominations.,2 wins ,0
2669,1 nomination.,0,1 nomination,
2723,Won 6 Oscars. Another 48 wins & 28 nominations., 28 nominations.,Won 6 Oscars, Another 48 wins 
2724,12 wins & 20 nominations., 20 nominations.,12 wins ,0
2726,1 win & 9 nominations., 9 nominations.,1 win ,0
2727,2 nominations.,0,2 nominations,
2729,Nominated for 2 Golden Globes. Another 1 win & 4 nominations., 4 nominations.,Nominated for 2 Golden Globes, Another 1 win 
2730,4 wins & 12 nominations., 12 nominations.,4 wins ,0
2731,Nominated for 4 Oscars. Another 28 wins & 116 nominations., 116 nominations.,Nominated for 4 Oscars, Another 28 wins 
2733,Won 1 Oscar. Another 7 wins & 29 nominations., 29 nominations.,Won 1 Oscar, Another 7 wins 
2735,Nominated for 2 Oscars. Another 25 wins & 58 nominations., 58 nominations.,Nominated for 2 Oscars, Another 25 wins 
2739,1 win.,0,1 win,
2740,2 nominations.,0,2 nominations,
2742,1 win & 1 nomination., 1 nomination.,1 win ,0
2744,2 wins & 1 nomination., 1 nomination.,2 wins ,0
2746,6 wins & 10 nominations., 10 nominations.,6 wins ,0
2748,Won 1 Golden Globe. Another 5 wins & 17 nominations., 17 nominations.,Won 1 Golden Globe, Another 5 wins 
2749,1 nomination.,0,1 nomination,
2752,2 wins.,0,2 wins,
2755,1 win.,0,1 win,
2756,2 wins & 3 nominations., 3 nominations.,2 wins ,0
2757,1 nomination.,0,1 nomination,
2758,1 win.,0,1 win,
2763,Nominated for 3 Golden Globes. Another 1 win & 25 nominations., 25 nominations.,Nominated for 3 Golden Globes, Another 1 win 
2764,1 win & 7 nominations., 7 nominations.,1 win ,0
2765,3 wins.,0,3 wins,
2770,1 nomination.,0,1 nomination,
2773,2 nominations.,0,2 nominations,
2774,5 wins & 1 nomination., 1 nomination.,5 wins ,0
2775,1 win.,0,1 win,
2779,7 nominations.,0,7 nominations,
2780,2 wins & 2 nominations., 2 nominations.,2 wins ,0
2789,1 win.,0,1 win,
2795,2 nominations.,0,2 nominations,
2796,2 nominations.,0,2 nominations,
2814,1 nomination.,0,1 nomination,
2816,4 nominations.,0,4 nominations,
2818,Nominated for 1 Primetime Emmy. Another 4 wins & 17 nominations., 17 nominations.,Nominated for 1 Primetime Emmy, Another 4 wins 
2819,1 nomination.,0,1 nomination,
2822,2 wins & 10 nominations., 10 nominations.,2 wins ,0
2824,1 nomination.,0,1 nomination,
2827,1 win & 1 nomination., 1 nomination.,1 win ,0
2830,2 wins & 8 nominations., 8 nominations.,2 wins ,0
2845,1 nomination.,0,1 nomination,
2846,1 win & 1 nomination., 1 nomination.,1 win ,0
2847,3 wins & 10 nominations., 10 nominations.,3 wins ,0
2861,Nominated for 2 Primetime Emmys. Another 8 wins & 14 nominations., 14 nominations.,Nominated for 2 Primetime Emmys, Another 8 wins 
2864,1 win.,0,1 win,
2870,1 nomination.,0,1 nomination,
2872,4 wins & 9 nominations., 9 nominations.,4 wins ,0
2880,1 win.,0,1 win,
2883,3 nominations.,0,3 nominations,
2893,1 nomination.,0,1 nomination,
2912,1 win & 7 nominations., 7 nominations.,1 win ,0
2945,7 wins & 8 nominations., 8 nominations.,7 wins ,0
2947,1 nomination.,0,1 nomination,
2954,1 win.,0,1 win,
2964,1 win & 2 nominations., 2 nominations.,1 win ,0
2968,1 win & 3 nominations., 3 nominations.,1 win ,0
2976,1 nomination.,0,1 nomination,
2983,1 nomination.,0,1 nomination,
2987,1 win.,0,1 win,
2991,11 wins & 6 nominations., 6 nominations.,11 wins ,0
2992,1 win.,0,1 win,
2999,1 nomination.,0,1 nomination,
3010,1 nomination.,0,1 nomination,
3016,8 wins & 17 nominations., 17 nominations.,8 wins ,0
3039,1 win.,0,1 win,
3042,4 nominations.,0,4 nominations,
3049,1 win & 12 nominations., 12 nominations.,1 win ,0
3052,1 nomination.,0,1 nomination,
3058,6 nominations.,0,6 nominations,
3094,9 nominations.,0,9 nominations,
3096,1 win & 1 nomination., 1 nomination.,1 win ,0
3110,1 nomination.,0,1 nomination,
3112,1 nomination.,0,1 nomination,
3114,Nominated for 1 Primetime Emmy. Another 1 win & 2 nominations., 2 nominations.,Nominated for 1 Primetime Emmy, Another 1 win 
3115,3 nominations.,0,3 nominations,
3123,1 win & 1 nomination., 1 nomination.,1 win ,0
3132,1 nomination.,0,1 nomination,
3178,5 wins & 11 nominations., 11 nominations.,5 wins ,0
3189,3 wins & 11 nominations., 11 nominations.,3 wins ,0
3195,4 wins & 7 nominations., 7 nominations.,4 wins ,0
3213,1 win & 1 nomination., 1 nomination.,1 win ,0
3217,1 nomination.,0,1 nomination,
3222,6 wins & 11 nominations., 11 nominations.,6 wins ,0
3223,1 win.,0,1 win,
3229,1 win.,0,1 win,
3238,1 nomination.,0,1 nomination,
3239,1 nomination.,0,1 nomination,
3248,4 wins.,0,4 wins,
3260,1 win & 3 nominations., 3 nominations.,1 win ,0
3268,5 nominations.,0,5 nominations,
3278,1 nomination.,0,1 nomination,
3281,1 nomination.,0,1 nomination,
3284,1 win.,0,1 win,
3317,4 nominations.,0,4 nominations,
3321,1 win.,0,1 win,
3326,3 wins & 7 nominations., 7 nominations.,3 wins ,0
3341,1 nomination.,0,1 nomination,
3369,1 win.,0,1 win,
3393,1 nomination.,0,1 nomination,
3417,1 win & 1 nomination., 1 nomination.,1 win ,0
3462,2 wins.,0,2 wins,
3484,3 nominations.,0,3 nominations,
3536,1 nomination.,0,1 nomination,
3538,4 nominations.,0,4 nominations,
3539,5 nominations.,0,5 nominations,
3542,1 nomination.,0,1 nomination,
3584,2 wins & 4 nominations., 4 nominations.,2 wins ,0
3585,Nominated for 1 Oscar. Another 7 wins & 42 nominations., 42 nominations.,Nominated for 1 Oscar, Another 7 wins 
3586,Nominated for 1 Oscar. Another 34 wins & 75 nominations., 75 nominations.,Nominated for 1 Oscar, Another 34 wins 
3588,Won 3 Oscars. Another 92 wins & 150 nominations., 150 nominations.,Won 3 Oscars, Another 92 wins 
3589,1 win.,0,1 win,
3591,Nominated for 3 Oscars. Another 46 wins & 87 nominations., 87 nominations.,Nominated for 3 Oscars, Another 46 wins 
3593,1 nomination.,0,1 nomination,
3594,20 wins & 35 nominations., 35 nominations.,20 wins ,0
3595,11 wins & 21 nominations., 21 nominations.,11 wins ,0
3596,2 wins & 3 nominations., 3 nominations.,2 wins ,0
3597,Nominated for 3 Oscars. Another 34 wins & 88 nominations., 88 nominations.,Nominated for 3 Oscars, Another 34 wins 
3598,1 win & 4 nominations., 4 nominations.,1 win ,0
3599,2 wins & 1 nomination., 1 nomination.,2 wins ,0
3600,22 wins & 68 nominations., 68 nominations.,22 wins ,0
3601,1 win & 4 nominations., 4 nominations.,1 win ,0
3604,32 wins & 86 nominations., 86 nominations.,32 wins ,0
3605,2 wins & 1 nomination., 1 nomination.,2 wins ,0
3606,1 win & 2 nominations., 2 nominations.,1 win ,0
3607,2 wins & 4 nominations., 4 nominations.,2 wins ,0
3608,1 win & 1 nomination., 1 nomination.,1 win ,0
3610,8 wins & 19 nominations., 19 nominations.,8 wins ,0
3611,1 win & 12 nominations., 12 nominations.,1 win ,0
3612,1 nomination.,0,1 nomination,
3614,2 wins & 1 nomination., 1 nomination.,2 wins ,0
3615,Nominated for 1 Oscar. Another 13 wins & 26 nominations., 26 nominations.,Nominated for 1 Oscar, Another 13 wins 
3617,11 wins & 62 nominations., 62 nominations.,11 wins ,0
3618,3 wins & 2 nominations., 2 nominations.,3 wins ,0
3623,1 win & 1 nomination., 1 nomination.,1 win ,0
3624,1 win.,0,1 win,
3625,1 win & 1 nomination., 1 nomination.,1 win ,0
3627,2 nominations.,0,2 nominations,
3629,5 wins & 6 nominations., 6 nominations.,5 wins ,0
